Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence	sample type	source organism
9249	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Arenaviridae		Mammarenavirus		Mammarenavirus guanaritoense	E	Guanarito virus	GTOV	INH-95551	L: AY358024; S: AY129247	NC_005082	Complete genome	ssRNA(+/-)	vertebrates	3052307.0	Mammarenavirus guanaritoense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus	NC_005082	T40007	H01543	Venezuelan hemorrhagic fever	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
9251	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Arenaviridae		Mammarenavirus		Mammarenavirus juninense	E	Junín virus	JUNV	XJ13	L: AY358022; S: AY358023	NC_005080	Complete genome	ssRNA(+/-)	vertebrates	2169991.0	Mammarenavirus juninense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus	NC_005080	T40005	H01541	Argentine hemorrhagic fever	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
9254	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Arenaviridae		Mammarenavirus		Mammarenavirus lassaense	E	Lassa virus	LASV	Josiah	L: U73034; S: J04324	NC_004297	Complete genome	ssRNA(+/-)	vertebrates	3052310.0	Mammarenavirus lassaense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus	NC_004297	T40010	H00386	Lassa fever	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
9258	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Arenaviridae		Mammarenavirus		Mammarenavirus lujoense	E	Lujo virus	LUJV	R4356	L: FJ952385; S: FJ952384	NC_012777	Complete genome	ssRNA(+/-)	vertebrates	3052314.0	Mammarenavirus lujoense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus	NC_012777	T40333	H02173	Arenaviral hemorrhagic fever	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		NCBI Virus, RefSeq		
9262	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Arenaviridae		Mammarenavirus		Mammarenavirus machupoense	E	Machupo virus	MACV	Carvallo	L: AY358021; S: AY129248	NC_005079	Complete genome	ssRNA(+/-)	vertebrates	3052317.0	Mammarenavirus machupoense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus	NC_005079	T40006	H01542	Bolivian hemorrhagic fever	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
9347	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus bayoui	E	bayou virus	BAYV	HV F0260003	L: GQ244526; M: L36930; S: L36929	NC_038299	Complete genome	ssRNA(-)	vertebrates	3052470.0	Orthohantavirus bayoui	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus	NC_038299	T40358	H00390	Hantavirus pulmonary syndrome	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	9347961	Literature, NCBI Virus		
9362	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus hantanense	E	Hantaan virus	HTNV	76-118	L: X55901; M: M14627; S: M14626	NC_005222	Complete genome	ssRNA(-)	vertebrates	3052480.0	Orthohantavirus hantanense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus	NC_005222	T40016	H00389	Hemorrhagic fever with renal syndrome	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	6127366	Literature		
9389	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus seoulense	E	Seoul virus	SEOV	80-39	L: X56492; M: S47716; S: AY273791	NC_005238	Complete genome	ssRNA(-)	vertebrates	3052498.0	Orthohantavirus seoulense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus	NC_005238	T40017	H00389	Hemorrhagic fever with renal syndrome	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	1867009, 15744561	Literature		
9398	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Hantaviridae	Mammantavirinae	Orthohantavirus		Orthohantavirus tulaense	E	Tula virus	TULV	Moravia/5302v	L: AJ005637; M: Z69993; S: Z49915	NC_005226	Complete genome	ssRNA(-)	vertebrates	3052503.0	Orthohantavirus tulaense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus	NC_005226	T40128	H00389	Hemorrhagic fever with renal syndrome	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	14532254	Literature, UniProt		
9425	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Nairoviridae		Orthonairovirus		Orthonairovirus dugbeense	E	Dugbe virus	DUGV	ArD44313	L: U15018; M: M94133; S: AF434161	NC_004159	Complete genome	ssRNA(-)	invertebrates, vertebrates	3052514.0	Orthonairovirus dugbeense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus	NC_004159				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
9429	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Nairoviridae		Orthonairovirus		Orthonairovirus haemorrhagiae	E	Crimean-Congo hemorrhagic fever virus	CCHFV	IbAr10200	L: AY389361; M: AF467768; S: U88410	NC_005301	Complete genome	ssRNA(-)	invertebrates, vertebrates	3052518.0	Orthonairovirus haemorrhagiae	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus	NC_005301	T40011	H00284	Crimean-Congo hemorrhagic fever	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	12072526	Literature		
9433	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Nairoviridae		Orthonairovirus		Orthonairovirus japonicum	E	Tofla virus	TFLV	Toku_Hfla_2013	L: LC008512; M: LC008511; S: LC008510	NC_029124	Complete genome	ssRNA(-)	invertebrates	1615758.0	Tofla virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Orthonairovirus japonicum	NC_029124				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	26863911	Literature		
9434	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Nairoviridae		Orthonairovirus		Orthonairovirus kasokeroense	E	Kasokero virus	KASV = KASOV	Z-52963	L: KR537444; M: KR537445; S: KR537446	NC_036636	Complete genome	ssRNA(-)	vertebrates	1712570.0	Kasokero virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Orthonairovirus kasokeroense	NC_036636				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	26324724	Literature		
9441	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Nairoviridae		Orthonairovirus		Orthonairovirus nairobiense	E	Nairobi sheep disease virus	NSDV	Jilin	L: KM464726; M: KM464725; S: KM464724	NC_034387	Complete genome	ssRNA(-)	invertebrates, vertebrates	194540.0	Nairobi sheep disease virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Orthonairovirus nairobiense	NC_034387				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	25811222	Literature		
9452	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Nairoviridae		Orthonairovirus		Orthonairovirus tachengense	E	Tǎchéng tick virus 1	TcTV1	TC253	L: KM817683; M: KM817717; S: KM817743	NC_031284	Complete coding genome	ssRNA(-)	invertebrates	1608083.0	Tacheng Tick Virus 1	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Orthonairovirus tachengense	NC_031284				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	34823477	Literature		
9507	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus bunyamweraense	E	Bunyamwera virus	BUNV		L: X14383; M: M11852; S: D00353	NC_001925	Complete genome	ssRNA(-)	invertebrates, vertebrates	35304.0	Bunyamwera virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus bunyamweraense	NC_001925	T40031	H01550	Bunyamwera fever	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
9516	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus bwambaense	E	Bwamba virus	BWAV	M459	L: KJ867184; M: KJ867183; S: KJ867182	NC_034479	Complete genome	ssRNA(-)	invertebrates, vertebrates	3052384.0	Orthobunyavirus bwambaense	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus	NC_034479				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	25188437	Literature, NCBI Virus, RefSeq		
9523	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus caraparuense	E	Caraparú virus	CARV	BeAn3994	L: KF254776; M: KF254777; S: KF254778	NC_034489	Complete genome	ssRNA(-)	invertebrates, vertebrates	192196.0	Caraparu virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus caraparuense	NC_034489				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	17705031	Literature		
9530	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus catuense	E	Catú virus	CATUV	BeH 151	L: KP792660; M: KP792659; S: KP792658	NC_038728	Complete genome	ssRNA(-)	invertebrates, vertebrates	1678225.0	Catu virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus catuense	NC_038728				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	26610546	Literature, RefSeq		
9546	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus guamaense	E	Guamá virus	GMAV	BeAn 227	L: KP792666; M: KP792665; S: KP792664	NC_038736	Complete genome	ssRNA(-)	invertebrates, vertebrates	1678234.0	Guama virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus guamaense	NC_038736				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	26610546	Literature		
9550	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus guaroaense	E	Guaroa virus	GROV	BeH22063	L: KM245524; M: KM245523; S: KM245522	NC_034487	Complete genome	ssRNA(-)	invertebrates, vertebrates	80941.0	Guaroa virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus guaroaense	NC_034487				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	25695188	Literature, RefSeq		
9559	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus ileshaense	E	Ilesha virus	ILEV	R5964	L: KF234075; M: KF234074; S: KF234073	NC_043587	Complete genome	ssRNA(-)	invertebrates, vertebrates	273341.0	Ilesha virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus ileshaense	NC_043587				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	23988729	Literature, RefSeq		
9574	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus keystoneense	E	Keystone virus	KEYV	B64-5587.05	L: KX817321; M: KX817322; S: KX817323	NC_043629	Complete genome	ssRNA(-)	invertebrates, vertebrates	35514.0	Keystone virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus keystoneense	NC_043629				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	29893806	Literature		
9575	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus khatangaense	E	snowshoe hare virus	SSHV		L: EU203678; M: EU262553; S: EU294510	NC_055196	Complete genome	ssRNA(-)	invertebrates, vertebrates	11580.0	Snowshoe hare virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus khatangaense	NC_055196				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
9586	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus macauaense	E	Macauã virus	MCAV	BeAr306329	L: JN572068; M: JN572069; S: JN572070	NC_055183	Complete genome	ssRNA(-)	invertebrates, vertebrates	273352.0	Macaua virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus macauaense	NC_055183				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	22278828	Literature		
9587	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus madridense	E	Madrid virus	MADV	BT4075	L: KF254779; M: KF254780; S: KF254781	NC_034497	Complete genome	ssRNA(-)	invertebrates, vertebrates	348013.0	Madrid virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus madridense	NC_034497				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	29795585	Literature, RefSeq		
9597	1	Riboviria		Orthornavirae		Negarnaviricota	Polyploviricotina	Ellioviricetes		Bunyavirales		Peribunyaviridae		Orthobunyavirus		Orthobunyavirus melajoense	E	Melao virus	MELV	TRVL 9375	L: KX817327; M: KX817328; S: KX817329	NC_043634	Complete genome	ssRNA(-)	invertebrates, vertebrates	35515.0	Melao virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Orthobunyavirus melajoense	NC_043634				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	34133422	Literature		
