query	qlen
hypothetical_protein_SAV2_gp1__YP_238297__Small_anellovirus_2__289367	121
hypothetical_protein_SAV2_gp2__YP_238298__Small_anellovirus_2__289367	183
hypothetical_protein_SAV2_gp3__YP_238299__Small_anellovirus_2__289367	502
hypothetical_protein_SAV2_gp4__YP_238300__Small_anellovirus_2__289367	165
hypothetical_protein_SAV2_gp5__YP_238301__Small_anellovirus_2__289367	117
hypothetical_protein_HhV6Bgp071__NP_050246__Human_betaherpesvirus_6B__32604	353
hypothetical_protein_HhV6Bgp072__NP_050247__Human_betaherpesvirus_6B__32604	114
hypothetical_protein_HhV6Bgp080__NP_050254__Human_betaherpesvirus_6B__32604	249
hypothetical_protein_HhV6Bgp082__NP_050257__Human_betaherpesvirus_6B__32604	79
hypothetical_protein_HhV6Bgp083__NP_050258__Human_betaherpesvirus_6B__32604	75
hypothetical_protein_HhV6Bgp093__NP_050268__Human_betaherpesvirus_6B__32604	265
hypothetical_protein_HhV6Bgp097__NP_050272__Human_betaherpesvirus_6B__32604	106
hypothetical_protein_HhV6Bgp099__NP_050274__Human_betaherpesvirus_6B__32604	200
hypothetical_protein_HhV6Bgp100__NP_050275__Human_betaherpesvirus_6B__32604	159
hypothetical_protein_HhV6Bgp101__NP_050276__Human_betaherpesvirus_6B__32604	79
hypothetical_protein_HhV6Bgp103__NP_050278__Human_betaherpesvirus_6B__32604	59
hypothetical_protein_KM542_gp011__YP_010085459__Akhmeta_virus__2200830	111
hypothetical_protein_KM542_gp014__YP_010085462__Akhmeta_virus__2200830	177
hypothetical_protein_KM542_gp016__YP_010085464__Akhmeta_virus__2200830	168
hypothetical_protein_KM542_gp022__YP_010085470__Akhmeta_virus__2200830	63
hypothetical_protein_KM542_gp024__YP_010085472__Akhmeta_virus__2200830	184
hypothetical_protein_KM542_gp026__YP_010085474__Akhmeta_virus__2200830	163
hypothetical_protein_KM542_gp027__YP_010085475__Akhmeta_virus__2200830	46
hypothetical_protein_KM542_gp028__YP_010085476__Akhmeta_virus__2200830	150
hypothetical_protein_KM542_gp032__YP_010085480__Akhmeta_virus__2200830	232
hypothetical_protein_KM542_gp041__YP_010085489__Akhmeta_virus__2200830	277
hypothetical_protein_KM542_gp042__YP_010085490__Akhmeta_virus__2200830	149
hypothetical_protein_KM542_gp043__YP_010085491__Akhmeta_virus__2200830	55
hypothetical_protein_KM542_gp049__YP_010085497__Akhmeta_virus__2200830	73
hypothetical_protein_KM542_gp050__YP_010085498__Akhmeta_virus__2200830	79
hypothetical_protein_KM542_gp051__YP_010085499__Akhmeta_virus__2200830	65
hypothetical_protein_KM542_gp052__YP_010085500__Akhmeta_virus__2200830	212
hypothetical_protein_KM542_gp054__YP_010085502__Akhmeta_virus__2200830	78
hypothetical_protein_KM542_gp055__YP_010085503__Akhmeta_virus__2200830	354
hypothetical_protein_KM542_gp058__YP_010085506__Akhmeta_virus__2200830	75
hypothetical_protein_KM542_gp060__YP_010085508__Akhmeta_virus__2200830	147
hypothetical_protein_KM542_gp061__YP_010085509__Akhmeta_virus__2200830	231
hypothetical_protein_KM542_gp064__YP_010085512__Akhmeta_virus__2200830	737
hypothetical_protein_HhV6Bgp006__NP_050181__Human_betaherpesvirus_6B__32604	59
hypothetical_protein_HhV6Bgp007__NP_050182__Human_betaherpesvirus_6B__32604	193
hypothetical_protein_HhV6Bgp009__NP_050186__Human_betaherpesvirus_6B__32604	535
hypothetical_protein_HhV6Bgp012__NP_050189__Human_betaherpesvirus_6B__32604	411
hypothetical_protein_HhV6Bgp013__NP_050187__Human_betaherpesvirus_6B__32604	903
hypothetical_protein_HhV6Bgp014__NP_050188__Human_betaherpesvirus_6B__32604	68
hypothetical_protein_HhV6Bgp015__NP_050190__Human_betaherpesvirus_6B__32604	104
hypothetical_protein_HhV6Bgp016__NP_050191__Human_betaherpesvirus_6B__32604	503
hypothetical_protein_HhV6Bgp019__NP_050194__Human_betaherpesvirus_6B__32604	107
hypothetical_protein_HhV6Bgp020__NP_050195__Human_betaherpesvirus_6B__32604	610
hypothetical_protein_HhV6Bgp021__NP_050196__Human_betaherpesvirus_6B__32604	191
hypothetical_protein_HhV6Bgp025__NP_050206__Human_betaherpesvirus_6B__32604	316
hypothetical_protein_HhV6Bgp026__NP_050205__Human_betaherpesvirus_6B__32604	57
hypothetical_protein_HhV6Bgp027__NP_050204__Human_betaherpesvirus_6B__32604	88
hypothetical_protein_HhV6Bgp033__NP_050207__Human_betaherpesvirus_6B__32604	295
hypothetical_protein_HhV6Bgp038__NP_050216__Human_betaherpesvirus_6B__32604	106
hypothetical_protein_HhV6Bgp043__NP_050218__Human_betaherpesvirus_6B__32604	264
hypothetical_protein_HhV6Bgp050__NP_050225__Human_betaherpesvirus_6B__32604	231
hypothetical_protein_HhV6Bgp058__NP_050233__Human_betaherpesvirus_6B__32604	258
hypothetical_protein_HhV6Bgp062__NP_050236__Human_betaherpesvirus_6B__32604	492
hypothetical_protein_HhV6Bgp064__NP_050239__Human_betaherpesvirus_6B__32604	772
hypothetical_protein_HhV6Bgp065__NP_050240__Human_betaherpesvirus_6B__32604	350
hypothetical_protein_HhV6Bgp067__NP_050242__Human_betaherpesvirus_6B__32604	87
hypothetical_protein_HhV6Bgp068__NP_050243__Human_betaherpesvirus_6B__32604	218
hypothetical_protein_CKM51_gp046__YP_009408434__NY_014_poxvirus__2025360	148
hypothetical_protein_CKM51_gp143__YP_009408531__NY_014_poxvirus__2025360	46
hypothetical_protein_CKM51_gp144__YP_009408532__NY_014_poxvirus__2025360	135
hypothetical_protein_CKM51_gp150__YP_009408538__NY_014_poxvirus__2025360	263
hypothetical_protein_CKM51_gp154__YP_009408542__NY_014_poxvirus__2025360	62
hypothetical_protein_CKM51_gp158__YP_009408546__NY_014_poxvirus__2025360	227
hypothetical_protein_CKM51_gp163__YP_009408551__NY_014_poxvirus__2025360	333
hypothetical_protein_CKM51_gp164__YP_009408552__NY_014_poxvirus__2025360	185
hypothetical_protein_CKM51_gp165__YP_009408553__NY_014_poxvirus__2025360	179
hypothetical_protein_CKM51_gp179__YP_009408567__NY_014_poxvirus__2025360	152
hypothetical_protein_CKM51_gp192__YP_009408580__NY_014_poxvirus__2025360	148
hypothetical_protein_CKM51_gp195__YP_009408583__NY_014_poxvirus__2025360	183
hypothetical_protein_EXH56_gp1__YP_009551331__Human_DNA_virus__1904876	199
hypothetical_protein_HEVgp9__YP_003864075__Hepeviridae__291484	114
hypothetical_protein_HhV6Bgp002__NP_050177__Human_betaherpesvirus_6B__32604	200
hypothetical_protein_HhV6Bgp003__NP_050178__Human_betaherpesvirus_6B__32604	159
hypothetical_protein_HhV6Bgp004__NP_050179__Human_betaherpesvirus_6B__32604	79
hypothetical_protein_ALA22_gp3__YP_009109711__Torque_teno_mini_virus_ALA22__1535290	134
hypothetical_protein_ALH8_gp1__YP_009109712__Torque_teno_mini_virus_ALH8__1535291	89
hypothetical_protein_ALH8_gp2__YP_009109713__Torque_teno_mini_virus_ALH8__1535291	656
hypothetical_protein_CKM51_gp003__YP_009408391__NY_014_poxvirus__2025360	172
hypothetical_protein_CKM51_gp010__YP_009408398__NY_014_poxvirus__2025360	187
hypothetical_protein_CKM51_gp012__YP_009408400__NY_014_poxvirus__2025360	174
hypothetical_protein_CKM51_gp016__YP_009408404__NY_014_poxvirus__2025360	173
hypothetical_protein_CKM51_gp029__YP_009408417__NY_014_poxvirus__2025360	123
hypothetical_protein_CKM51_gp036__YP_009408424__NY_014_poxvirus__2025360	66
hypothetical_protein_CKM51_gp037__YP_009408425__NY_014_poxvirus__2025360	82
hypothetical_protein_CKM51_gp038__YP_009408426__NY_014_poxvirus__2025360	64
hypothetical_protein_CKM51_gp044__YP_009408432__NY_014_poxvirus__2025360	172
host_TNF_chemokines_receptor__YP_010085662__Akhmeta_virus__2200830	163
hydrophobic_IMV_membrane_protein__YP_010085592__Akhmeta_virus__2200830	53
hydroxysteroid_dehydrogenase__YP_009408544__NY_014_poxvirus__2025360	347
hydroxysteroid_dehydrogenase__YP_010085626__Akhmeta_virus__2200830	344
hydroxysteroid_dehydrogenase__YP_233052__Vaccinia_virus__10245	346
hypothetical_protein,_partial__YP_003668029__Human_papillomavirus_121__915429	125
hypothetical_protein_ALA22_gp1__YP_009109709__Torque_teno_mini_virus_ALA22__1535290	101
hypothetical_protein_ALA22_gp2__YP_009109710__Torque_teno_mini_virus_ALA22__1535290	674
holliday_junction_endonuclease__YP_010085601__Akhmeta_virus__2200830	172
holliday_junction_resolvase__YP_009408522__NY_014_poxvirus__2025360	187
host-range_factor__YP_010085473__Akhmeta_virus__2200830	150
host-range_protein__NP_042052__Variola_virus__10255	150
host-range_protein__YP_232903__Vaccinia_virus__10245	150
hexon_assembly_protein_100K__YP_002213815__Human_mastadenovirus_B__108098	812
hexon_assembly_protein_100K__YP_005271194__bat_adenovirus_3__2758098	683
hexon_capsid_protein__YP_005271191__bat_adenovirus_3__2758098	908
hexon__YP_009246428__Bat_mastadenovirus_WIV11__1788433	918
VP1__YP_009518842__Norovirus_GII__122929	540
encapsidation_protein_52K__YP_001974448__Human_mastadenovirus_D__130310	374
encapsidation_protein_52K__YP_002213772__Human_mastadenovirus_B__108098	385
encapsidation_protein_52K__YP_002213805__Human_mastadenovirus_B__108098	388
encapsidation_protein_52K__YP_005271184__bat_adenovirus_3__2758098	438
encapsidation_protein_IVa2__NP_040515__Human_mastadenovirus_C__129951	449
encapsidation_protein_IVa2__NP_040852__Human_mastadenovirus_F__130309	446
encapsidation_protein_IVa2__NP_040914__Human_mastadenovirus_A__129875	452
encapsidation_protein_IVa2__YP_001974425__Human_mastadenovirus_D__130310	448
encapsidation_protein_IVa2__YP_002213830__Human_mastadenovirus_B__108098	448
encapsidation_protein_IVa2__YP_002213841__Human_mastadenovirus_B__108098	448
endoRNAse__YP_009725310__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	346
endoribonuclease__NP_828872__SARS_coronavirus_Tor2__227984	346
entry_fusion_complex_protein__YP_010085543__Akhmeta_virus__2200830	340
env_polyprotein__NP_056844__Human_immunodeficiency_virus_2__11709	860
env_protein__YP_009508557__Japanese_macaque_simian_foamy_virus__2170198	981
envelope_glycoprotein_150__YP_401694__Human_gammaherpesvirus_4__10376	234
envelope_glycoprotein_24,_partial__YP_002802298__Human_herpesvirus_5__10359	65
envelope_glycoprotein_24__YP_002802310__Human_betaherpesvirus_5__10359	70
envelope_glycoprotein_24__YP_004936040__Cercopithecine_betaherpesvirus_5__50292	56
envelope_glycoprotein_24__YP_495283__Human_betaherpesvirus_7__10372	56
envelope_glycoprotein_42__YP_401672__Human_gammaherpesvirus_4__10376	223
envelope_glycoprotein_48__YP_401695__Human_gammaherpesvirus_4__10376	420
envelope_glycoprotein_B__NP_851887__Macacine_alphaherpesvirus_1__10325	892
envelope_glycoprotein_B__YP_073779__Human_betaherpesvirus_7__10372	822
envelope_glycoprotein_C__NP_040137__Human_alphaherpesvirus_3__10335	560
envelope_glycoprotein_C__NP_851904__Macacine_alphaherpesvirus_1__10325	467
envelope_glycoprotein_C__YP_009137119__Human_alphaherpesvirus_1__10298	511
envelope_glycoprotein_C__YP_009137196__Human_alphaherpesvirus_2__10310	480
envelope_glycoprotein_C__YP_443891__Papiine_alphaherpesvirus_2__340907	462
envelope_glycoprotein_D__NP_851925__Macacine_alphaherpesvirus_1__10325	394
envelope_glycoprotein_D__YP_009137141__Human_alphaherpesvirus_1__10298	394
envelope_glycoprotein_D__YP_009137218__Human_alphaherpesvirus_2__10310	393
envelope_glycoprotein_D__YP_443912__Papiine_alphaherpesvirus_2__340907	394
envelope_glycoprotein_E1__NP_740694__Mayaro_virus__59301	436
envelope_glycoprotein_E2__NP_740693__Mayaro_virus__59301	422
envelope_glycoprotein_E3__NP_740692__Mayaro_virus__59301	66
envelope_glycoprotein_E__NP_040190__Human_alphaherpesvirus_3__10335	623
envelope_glycoprotein_E__NP_851927__Macacine_alphaherpesvirus_1__10325	539
envelope_glycoprotein_E__YP_009137143__Human_alphaherpesvirus_1__10298	550
envelope_glycoprotein_E__YP_009137220__Human_alphaherpesvirus_2__10310	545
envelope_glycoprotein_E__YP_443914__Papiine_alphaherpesvirus_2__340907	539
envelope_glycoprotein_G__YP_009137139__Human_alphaherpesvirus_1__10298	238
envelope_glycoprotein_G__YP_443910__Papiine_alphaherpesvirus_2__340907	657
envelope_glycoprotein_H__NP_040160__Human_alphaherpesvirus_3__10335	841
envelope_glycoprotein_H__NP_851881__Macacine_alphaherpesvirus_1__10325	858
envelope_glycoprotein_H__YP_002608267__Human_herpesvirus_5__10359	743
envelope_glycoprotein_H__YP_004936041__Cercopithecine_betaherpesvirus_5__50292	718
envelope_glycoprotein_H__YP_009137096__Human_alphaherpesvirus_1__10298	838
envelope_glycoprotein_H__YP_009137173__Human_alphaherpesvirus_2__10310	838
envelope_glycoprotein_H__YP_073788__Human_betaherpesvirus_7__10372	690
envelope_glycoprotein_H__YP_081523__Human_betaherpesvirus_5__10359	742
envelope_glycoprotein_H__YP_401700__Human_gammaherpesvirus_4__10376	706
envelope_glycoprotein_H__YP_443868__Papiine_alphaherpesvirus_2__340907	857
envelope_glycoprotein_I__NP_040189__Human_alphaherpesvirus_3__10335	354
envelope_glycoprotein_I__NP_851926__Macacine_alphaherpesvirus_1__10325	401
envelope_glycoprotein_I__YP_009137142__Human_alphaherpesvirus_1__10298	390
envelope_glycoprotein_I__YP_009137219__Human_alphaherpesvirus_2__10310	372
envelope_glycoprotein_I__YP_443913__Papiine_alphaherpesvirus_2__340907	386
envelope_glycoprotein_J__NP_851924__Macacine_alphaherpesvirus_1__10325	121
envelope_glycoprotein_J__YP_009137140__Human_alphaherpesvirus_1__10298	92
envelope_glycoprotein_J__YP_009137217__Human_alphaherpesvirus_2__10310	92
envelope_glycoprotein_J__YP_443911__Papiine_alphaherpesvirus_2__340907	117
envelope_glycoprotein_K__NP_040128__Human_alphaherpesvirus_3__10335	340
envelope_glycoprotein_K__NP_851914__Macacine_alphaherpesvirus_1__10325	337
envelope_glycoprotein_K__YP_009137129__Human_alphaherpesvirus_1__10298	338
envelope_glycoprotein_K__YP_009137206__Human_alphaherpesvirus_2__10310	338
envelope_glycoprotein_K__YP_443901__Papiine_alphaherpesvirus_2__340907	337
envelope_glycoprotein_L__NP_040182__Human_alphaherpesvirus_3__10335	159
envelope_glycoprotein_L__NP_783793__Human_herpesvirus_5__10359	278
envelope_glycoprotein_L__NP_851860__Macacine_alphaherpesvirus_1__10325	224
envelope_glycoprotein_L__YP_004936074__Cercopithecine_betaherpesvirus_5__50292	258
envelope_glycoprotein_L__YP_009137075__Human_alphaherpesvirus_1__10298	224
envelope_glycoprotein_L__YP_009137152__Human_alphaherpesvirus_2__10310	224
envelope_glycoprotein_L__YP_073820__Human_betaherpesvirus_7__10372	246
envelope_glycoprotein_L__YP_081555__Human_betaherpesvirus_5__10359	278
envelope_glycoprotein_L__YP_401678__Human_gammaherpesvirus_4__10376	137
envelope_glycoprotein_L__YP_443847__Papiine_alphaherpesvirus_2__340907	233
envelope_glycoprotein_M__NP_040172__Human_alphaherpesvirus_3__10335	435
envelope_glycoprotein_M__NP_851869__Macacine_alphaherpesvirus_1__10325	472
envelope_glycoprotein_M__YP_002608290__Human_herpesvirus_5__10359	372
envelope_glycoprotein_M__YP_004936066__Cercopithecine_betaherpesvirus_5__50292	355
envelope_glycoprotein_M__YP_009137084__Human_alphaherpesvirus_1__10298	473
envelope_glycoprotein_M__YP_009137161__Human_alphaherpesvirus_2__10310	467
envelope_glycoprotein_M__YP_073812__Human_betaherpesvirus_7__10372	346
envelope_glycoprotein_M__YP_081547__Human_betaherpesvirus_5__10359	371
envelope_glycoprotein_M__YP_401685__Human_gammaherpesvirus_4__10376	405
envelope_glycoprotein_M__YP_443856__Papiine_alphaherpesvirus_2__340907	455
envelope_glycoprotein_N__NP_851910__Macacine_alphaherpesvirus_1__10325	79
envelope_glycoprotein_N__YP_002608265__Human_herpesvirus_5__10359	138
envelope_glycoprotein_N__YP_004936038__Cercopithecine_betaherpesvirus_5__50292	104
envelope_glycoprotein_N__YP_009137125__Human_alphaherpesvirus_1__10298	91
envelope_glycoprotein_N__YP_009137202__Human_alphaherpesvirus_2__10310	87
envelope_glycoprotein_N__YP_068406__Human_alphaherpesvirus_3__10335	87
envelope_glycoprotein_N__YP_073786__Human_betaherpesvirus_7__10372	86
envelope_glycoprotein_N__YP_081521__Human_betaherpesvirus_5__10359	135
envelope_glycoprotein_N__YP_401665__Human_gammaherpesvirus_4__10376	102
envelope_glycoprotein_N__YP_443897__Papiine_alphaherpesvirus_2__340907	78
envelope_glycoprotein_O__YP_002608266__Human_herpesvirus_5__10359	466
envelope_glycoprotein_O__YP_004936039__Cercopithecine_betaherpesvirus_5__50292	399
envelope_glycoprotein_O__YP_073787__Human_betaherpesvirus_7__10372	313
envelope_glycoprotein_O__YP_081522__Human_betaherpesvirus_5__10359	472
envelope_glycoprotein_Q__YP_073827__Human_betaherpesvirus_7__10372	603
envelope_glycoprotein_RL10__YP_002608223__Human_herpesvirus_5__10359	171
envelope_glycoprotein_RL10__YP_002608304__Human_herpesvirus_5__10359	171
envelope_glycoprotein_RL10__YP_081458__Human_betaherpesvirus_5__10359	170
envelope_glycoprotein_UL130__YP_002608301__Human_herpesvirus_5__10359	214
envelope_glycoprotein_UL130__YP_004936084__Cercopithecine_betaherpesvirus_5__50292	198
envelope_glycoprotein_UL130__YP_081565__Human_betaherpesvirus_5__10359	214
envelope_glycoprotein_UL132__YP_002608303__Human_herpesvirus_5__10359	270
envelope_glycoprotein_UL132__YP_004936086__Cercopithecine_betaherpesvirus_5__50292	213
envelope_glycoprotein_UL132__YP_081567__Human_betaherpesvirus_5__10359	270
envelope_glycoprotein_UL33__NP_783781__Human_herpesvirus_5__10359	412
envelope_glycoprotein_UL33__YP_004936009__Cercopithecine_betaherpesvirus_5__50292	398
envelope_glycoprotein_UL33__YP_073753__Human_betaherpesvirus_7__10372	333
envelope_glycoprotein_UL33__YP_081492__Human_betaherpesvirus_5__10359	412
envelope_glycoprotein_UL37__YP_002608247__Human_herpesvirus_5__10359	487
envelope_glycoprotein_UL37__YP_004936013__Cercopithecine_betaherpesvirus_5__50292	381
envelope_glycoprotein_UL37__YP_073758__Human_betaherpesvirus_7__10372	295
envelope_glycoprotein_UL37__YP_081496__Human_betaherpesvirus_5__10359	488
envelope_glycoprotein_UL4__YP_002608226__Human_herpesvirus_5__10359	152
envelope_glycoprotein_UL4__YP_081464__Human_betaherpesvirus_5__10359	149
envelope_glycoprotein_US27__YP_002608325__Human_herpesvirus_5__10359	362
envelope_glycoprotein_US27__YP_081611__Human_betaherpesvirus_5__10359	364
envelope_glycoprotein__NP_694851__Lymphocytic_choriomeningitis_mammarenavirus__11623	498
envelope_glycoprotein__YP_002455789__Human_T-lymphotropic_virus_4__318279	485
envelope_glycoproteins__YP_009449451__Kabuto_mountain_virus__1851087	1003
envelope_membrane-associated_glycoprotein__NP_740295__Langat_virus__11085	499
envelope_protein_E1__NP_751920__Hepatitis_C_virus_genotype_1__41856	192
envelope_protein_E2__NP_751921__Hepatitis_C_virus_genotype_1__41856	363
envelope_protein_E__NP_722460__dengue_virus_type_I__11053	495
envelope_protein_E__NP_722531__Murray_Valley_encephalitis_virus__11079	501
envelope_protein_E__NP_775666__Japanese_encephalitis_virus__11072	500
envelope_protein_E__NP_776014__West_Nile_virus__11082	497
envelope_protein_E__YP_004734464_envelope_protein_E__Tembusu_virus__64293	501
envelope_protein_E__YP_009227198__Zika_virus__64320	500
envelope_protein_E__YP_009329949__Saint_Louis_encephalitis_virus__11080	501
envelope_protein_E__YP_009333107__Cacipacore_virus__64305	501
envelope_protein_E__YP_009430300__Zika_virus__64320	504
envelope_protein_UL128__NP_783797__Human_herpesvirus_5__10359	171
envelope_protein_UL128__YP_004936083__Cercopithecine_betaherpesvirus_5__50292	271
envelope_protein_UL131A__YP_004936085__Cercopithecine_betaherpesvirus_5__50292	172
envelope_protein_UL131A__YP_081566__Human_betaherpesvirus_5__10359	129
envelope_protein_UL20__NP_040162__Human_alphaherpesvirus_3__10335	222
envelope_protein_UL20__NP_851879__Macacine_alphaherpesvirus_1__10325	223
envelope_protein_UL20__YP_009137094__Human_alphaherpesvirus_1__10298	222
envelope_protein_UL20__YP_009137171__Human_alphaherpesvirus_2__10310	222
envelope_protein_UL20__YP_443866__Papiine_alphaherpesvirus_2__340907	225
envelope_protein_UL43__NP_040138__Human_alphaherpesvirus_3__10335	406
envelope_protein_UL43__NP_851903__Macacine_alphaherpesvirus_1__10325	379
envelope_protein_UL43__YP_009137118__Human_alphaherpesvirus_1__10298	417
envelope_protein_UL43__YP_009137195__Human_alphaherpesvirus_2__10310	414
envelope_protein_UL43__YP_073766__Human_betaherpesvirus_7__10372	293
envelope_protein_UL43__YP_401658__Human_gammaherpesvirus_4__10376	357
envelope_protein_UL43__YP_443890__Papiine_alphaherpesvirus_2__340907	386
envelope_protein_UL78__YP_002608270__Human_herpesvirus_5__10359	431
envelope_protein_UL78__YP_004936044__Cercopithecine_betaherpesvirus_5__50292	357
envelope_protein_UL78__YP_073791__Human_betaherpesvirus_7__10372	294
envelope_protein_UL78__YP_081526__Human_betaherpesvirus_5__10359	431
envelope_protein_US28__NP_783808__Human_herpesvirus_5__10359	354
envelope_protein_US28__YP_004936140__Cercopithecine_betaherpesvirus_5__50292	477
envelope_protein_US28__YP_081612__Human_betaherpesvirus_5__10359	354
envelope_protein__NP_073554__Human_coronavirus_229E__11137	77
envelope_protein__NP_740271__Louping_ill_virus__11086	496
envelope_protein__NP_740305__Yellow_fever_virus__11089	493
envelope_protein__NP_775503__Tick-borne_encephalitis_virus__11084	496
envelope_protein__NP_775516__Powassan_virus__11083	497
envelope_protein__YP_003769__Human_coronavirus_NL63__277944	77
envelope_protein__YP_007188584__Betacoronavirus_England_1__1263720	82
envelope_protein__YP_009047209__Middle_East_respiratory_syndrome-related_coronavirus__1335626	82
envelope_protein__YP_009508552__Eastern_chimpanzee_simian_foamy_virus__2170195	988
envelope_protein__YP_009555243__Human_coronavirus_OC43__31631	84
envelope_protein__YP_009724392__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	75
envelope_protein__YP_173240__Human_coronavirus_HKU1__290028	82
epidermal_growth_factor-like_protein_-EGF-like_protein-__NP_042046__Variola_virus__10255	140
essential_Ser_Thr_kinase__YP_009408428__NY_014_poxvirus__2025360	440
essential_metalloproteinase__YP_009408458__NY_014_poxvirus__2025360	590
essential_viral_core_cysteine_proteinase__YP_009408456__NY_014_poxvirus__2025360	422
fiber-2__NP_040876__Human_mastadenovirus_F__130309	547
fiber__NP_040533__Human_mastadenovirus_C__129951	582
fiber__NP_040875__Human_mastadenovirus_F__130309	387
fiber__NP_040933__Human_mastadenovirus_A__129875	587
fiber__YP_001974434__Human_mastadenovirus_D__130310	362
fiber__YP_002213796__Human_mastadenovirus_B__108098	319
fiber__YP_002213828__Human_mastadenovirus_B__108098	325
fiber__YP_009246367__Bat_mastadenovirus_WIV9__1788436	372
fiber__YP_009246400__Bat_mastadenovirus_WIV10__1788432	385
fiber__YP_009246439__Bat_mastadenovirus_WIV11__1788433	390
fiber_protein__YP_005271200__bat_adenovirus_3__2758098	555
formerly_known_as_growth-factor-like_protein__NP_835351__Human_coronavirus_229E__11137	135
fusion_glycoprotein__NP_056863__Human_orthopneumovirus__11250	574
fusion_glycoprotein__YP_009512969__Menangle_virus__152219	554
fusion_protein__ACA49108__Avian_metaavulavirus_2__2560313	536
fusion_protein__NP_054711__Mumps_orthorubulavirus__2560602	538
fusion_protein__NP_056922__Measles_morbillivirus__11234	550
fusion_protein__YP_009094032__Sosuga_virus__1452514	534
fusion_protein__YP_009094058__Avian_metaavulavirus_7__2560317	539
fusion_protein__YP_009512954__Avian_metaavulavirus_8__2560318	543
fusion_protein__YP_009513217__Avian_metaavulavirus_2__2560313	536
fusion_protein__YP_010087172__Alston_virus__2495433	542
fusion_protein__YP_138515__Parainfluenza_virus_5__2905673	529
gag_polyprotein__NP_056837__Human_immunodeficiency_virus_2__11709	521
gag_protein__NP_056802__Simian_foamy_virus__11642	653
gag_protein__YP_009508545__Central_cimpanzee_simian_foamy_virus__2170194	648
gag_protein__YP_009508550__Eastern_chimpanzee_simian_foamy_virus__2170195	648
gag_protein__YP_009508555__Japanese_macaque_simian_foamy_virus__2170198	644
gag_protein__YP_009666125__Guenon_simian_foamy_virus__2170197	642
ganciclovir_kinase__NP_042962__Human_betaherpesvirus_6A__32603	562
glutaredoxin-1__YP_010085524__Akhmeta_virus__2200830	108
glutaredoxin-2__YP_010085536__Akhmeta_virus__2200830	124
glutaredoxin-like_protein__NP_042110__Variola_virus__10255	124
glutaredoxin-like_protein__NP_938308__Yaba_monkey_tumor_virus__38804	125
glutaredoxin__NP_042098__Variola_virus__10255	108
glycoprotein,_partial__AVT44118__Severe_fever_with_thrombocytopenia_syndrome_virus__1003835	285
glycoprotein_-G_protein-_mature_peptide__NP_955548__Vesicular_stomatitis_Indiana_virus__11277	495
glycoprotein_B__NP_042932__Human_betaherpesvirus_6A__32603	830
glycoprotein_H__NP_042941__Human_betaherpesvirus_6A__32603	694
glycoprotein_H__NP_050229__Human_betaherpesvirus_6B__32604	694
glycoprotein_L__NP_042975__Human_betaherpesvirus_6A__32603	250
glycoprotein_M__NP_050251__Human_betaherpesvirus_6B__32604	344
glycoprotein_O__NP_042940__Human_betaherpesvirus_6A__32603	651
glycoprotein_UL22A__NP_783776__Human_herpesvirus_5__10359	103
glycoprotein_UL22A__YP_004935998__Cercopithecine_betaherpesvirus_5__50292	112
glycoprotein_UL22A__YP_081481__Human_betaherpesvirus_5__10359	105
glycoprotein__NP_042913__Human_betaherpesvirus_6A__32603	422
glycoprotein__NP_042914__Human_betaherpesvirus_6A__32603	433
glycoprotein__NP_042915__Human_betaherpesvirus_6A__32603	202
glycoprotein__NP_042916__Human_betaherpesvirus_6A__32603	236
glycoprotein__NP_042917__Human_betaherpesvirus_6A__32603	87
glycoprotein__NP_050200__Human_betaherpesvirus_6B__32604	434
glycoprotein__NP_050202__Human_betaherpesvirus_6B__32604	202
glycoprotein__NP_050203__Human_betaherpesvirus_6B__32604	299
glycoprotein__NP_050264__Human_betaherpesvirus_6B__32604	292
glycoprotein__YP_001285391__European_bat_1_lyssavirus__57482	524
glycoprotein__YP_001285396__European_bat_2_lyssavirus__57483	524
glycoprotein__YP_001531156__Marburg_marburgvirus__11269	681
glycoprotein__YP_003848705__Rift_Valley_fever_virus__11588	1197
glycoprotein__YP_007641380__Chandipura_virus__11272	530
glycoprotein__YP_007641385__Isfahan_virus__290008	523
glycoprotein__YP_007641405__Lyssavirus_duvenhage__38767	533
glycoprotein__YP_009047084__Vesicular_stomatitis_New_Jersey_virus__11280	517
U58__NP_042951__Human_betaherpesvirus_6A__32603	772
helicase-primase_subunit__YP_443854__Papiine_alphaherpesvirus_2__340907	756
helicase_NTPase__NP_828870__SARS_coronavirus_Tor2__227984	601
helicase__NP_042970__Human_betaherpesvirus_6A__32603	824
helicase__YP_009725308__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	601
helicase__YP_010085573__Akhmeta_virus__2200830	631
helicase_primase_complex__NP_042967__Human_betaherpesvirus_6A__32603	662
helicase_primase_complex__NP_050224__Human_betaherpesvirus_6B__32604	860
helicase_primase_complex__NP_050253__Human_betaherpesvirus_6B__32604	662
helicase_primase_complex_protein__NP_042936__Human_betaherpesvirus_6A__32603	860
hemagglutinin-esterase-fusion__YP_089655__Influenza_C_virus_-C_Ann_Arbor_1_50-__11553	655
hemagglutinin-esterase__YP_009555240__Human_coronavirus_OC43__31631	424
